boat,phrf,loa,displacement
"Catalina 30 Tall Mast, Bow Sprit",183,30.00,10000
Catalina 30 W,201,29.90,10300
Catalina 310 W,177,31.00,10700
Catalina 320 Deep Keel,153,32.50,11300
Catalina 320 W,165,32.60,11700
Catalina 34,156,34.50,11950
Catalina 34 Tall mast,153,34.50,11950
Catalina 34 TM W,162,34.50,12550
Catalina 350 Wing,150,36.40,14012
Catalina 36,150,35.60,15000
Catalina 36 Tall Mast,147,35.60,15000
Catalina 36 TM M SLIGO C,147,35.50,15525
Catalina 36-2,150,36.30,14100
Catalina 38,120,38.00,15900
Catalina 380 W,126,38.40,19500
Catalina 390,126,38.40,19500
Catalina 400 DK,108,40.70,19200
Catalina 400 W,114,40.50,18000
Catalina 42,99,41.80,18000
Catalina 42 Shoal Draft,111,42.00,18800
Catalina 42 W,111,41.80,18000
Catalina 445,108,44.40,24500
Catalina 470 W,123,46.50,27750
Celebrity 19,252,19.00,
Centurion 32,180,32.00,10700
Centurion 38,114,37.60,19600
Centurion 38 Scheel,114,37.70,20200
Centurion 42,75,42.20,24553
Centurion 42 SD,81,42.20,24300
Centurion 47 SD,75,47.00,30000
Centurion 50,81,50.50,30856
Challenger 32,222,32.00,12800
Chance 29,150,32.90,15150
Chance 30/28,162,30.00,
Chance 30/30 Allied,171,30.00,11200
Chance 32,162,32.00,12025
Chance 33,126,39.20,17359
Chance 36,111,36.00,
Chance 37,126,37.00,13200
Chance 39,120,39.00,17359
Chance Offshore 1,132,33.00,13590
Chaser 29,162,29.00,7200
Chaser 33,138,32.80,9865
Cheetah 30 ODR,90,30.30,2300
Cheoy Lee 35 Lion,234,35.00,18000
Cheoy Lee 35 Robb,234,35.00,14700
Cheoy Lee 35 Yawl,246,35.00,
Cheoy Lee 36 Clpr,252,36.00,16250
Cheoy Lee 40 Ketch,168,40.00,28000
Cheoy Lee 41 Offshore Ketch,138,40.90,21120
Cheoy Lee 41 Offshore Yawl,150,40.90,25000
Cheoy Lee 44,126,44.00,27200
Cheoy Lee 44 Cutter,144,44.00,27200
Cheoy Lee 48 Ketch,147,47.80,33000
Cheoy Lee Offshore 27,246,27.00,6900
Cheoy Lee Offshore 31 Ketch,306,31.00,1100
Cheoy Lee Offshore 33 Ketch,300,33.00,10500
Cheoy Lee Offshore 40,186,40.00,20000
Cheoy Lee Offshore 47,108,47.00,33000
