boat,phrf,loa,displacement
Santa Cruz 40,45,40.00,10500
Santa Cruz 52,-6,53.00,22000
Santa Cruz 70,-66,70.00,
Santa Cruz 72,-78,72.30,30107
"Santa Cruz Mod 27 ""Big Bird""",141,27.00,3000
Santana 20,222,20.00,1350
Santana 21,264,21.00,1400
Santana 22,246,22.00,2600
Santana 23,174,23.00,2600
Santana 25,222,25.00,4200
Santana 25 1/4 Ton,210,24.60,4050
Santana 26,298,26.00,
Santana 27,298,27.00,
Santana 28,186,28.00,6800
Santana 30 1/2 Ton,183,29.90,8800
Santana 30/30 Cruiser,132,30.00,6800
Santana 30/30 Grand Prix,120,30.00,6000
Santana 30/30 Racer/Cruiser,129,30.00,6600
Santana 35,126,35.00,8500
Santana 37,132,37.00,15000
Santana 525,186,25.00,
"Santana Mod 30/30 CR ""Riley Coyote""",135,30.00,7100
"Santana Mod 30/30 RC ""Falstaff""",123,30.00,6600
Scampi 30-1,177,30.00,
Scampi 30-3,180,29.60,7300
Scampi 30-4,183,29.80,6800
"Scampi Mod 30-4 ""Tootsie""",171,29.80,6800
Scanmar 33,162,33.20,10140
Scanmar 35,159,35.10,10582
Scanmar 37,39,37.00,8662
Schock 22,300,22.00,2100
Schock 25,240,25.00,2210
Schock 34 PC Wing,123,33.90,10300
Schock 346,96,33.90,8550
Schock 34PC,117,33.80,10350
Schock 35,72,35.00,10000
Schock 35 Wing,93,35.00,11000
Schock 40,6,40.00,7000
Schock 41,66,40.80,16652
Schock Harbor 30,120,30.90,8250
Sea Sprite 23,276,22.50,3350
Sea Sprite 27 IB,231,27.00,7500
Sea Sprite 30,225,30.20,10000
Sea Sprite 34,192,33.90,12800
Seafarer 22,270,21.70,2300
Seafarer 24,234,24.00,3860
Seafarer 29,219,28.70,6300
Seafarer 30,183,30.00,7520
Seafarer 30-1,186,30.40,12100
Seafarer 31,222,31.20,8750
Seafarer 31 Mark II,183,31.00,10300
Seafarer 31 Yawl,225,31.20,8750
Seafarer 34,189,34.00,12300
Seafarer 37,132,37.00,16500
Seafarer Challenger 23,264,22.70,2550
Seafarer Kestral,270,23.00,2750
Seafarer Meridian Mk II,252,25.60,5400
Seguin 40,102,39.70,20000
Seguin 44 CB TM,96,45.80,29000
Seidelmann 25 OB,216,25.00,4600
Seidelmann 285,156,28.40,6800
Seidelmann 29.9,177,29.00,8000
Seidelmann 295,177,29.40,7400
Seidelmann 30 SD,180,29.90,8000
Seidelmann 30 T,174,30.00,8800
Seidelmann 34,159,34.00,11000
Seidelmann 37,126,37.00,13500
Seidelmann 37 Shoal Draft Short Rig,138,37.00,13900
Seidelmann 37 Short Rig,129,37.00,13500
Shamrock 30,165,30.00,8000
Shannon 39 Centerboard Cutter,177,38.58,18700
Shark 24,228,24.00,2200
Shark 50,45,52.50,15000
Shields,168,30.30,4600
Shipman 29,177,29.00,7480
Show Barberis 27,192,27.50,4840
Show Barberis 29,180,29.50,7575
Show Barberis 30,162,30.00,7575
Show Barberis 34,128,34.00,10780
Show Barberis 36,126,35.40,10830
Show Barberis 38,108,37.70,11880
Show Barberis 42,84,41.40,20000
Sigma 38,162,38.30,
Sigma 41 TM,96,41.80,19725
Signet 20,292,19.80,2164
Sinergia 40,36,39.60,15888
Sirena 38,102,38.10,11200
Sirena 44,75,44.00,24661
Six Meter,132,33.30,
Skye 51 K,84,50.80,40000
Snapdragon 24,270,23.00,3850
Soling,150,26.80,2100
Sonar,174,23.00,2100
Sonic 23,216,23.00,3400
South Coast 23,288,23.00,3750
Southern 21,264,20.50,3636
Southern Cross 31,246,30.40,8500
Southern Cross 39,138,43.00,21000
Sovereign 23,252,23.00,3250
Soverel 26,171,26.00,5000
Soverel 26 Inboard,177,26.00,6300
Soverel 27,141,26.50,3900
Soverel 27 Outboard,135,26.50,3900
Soverel 28,222,28.00,7000
Soverel 30,126,30.00,7000
Soverel 33 Inboard,90,33.00,5800
Soverel 36,114,35.80,14500
Soverel 39,60,38.40,11500
Sparkman & Stevens 32,171,32.00,
Sparkman & Stevens 34,174,33.30,9185
Sparkman & Stevens 34 TM,162,33.50,16000
Sparkman & Stevens 40,168,40.00,
Sparkman & Stevens 47,99,47.00,25411
Sparstep 39,138,38.90,20121
Spice Island 40,180,40.00,24300
Sprinta Sport,207,23.00,2400
SR 21,174,21.10,1360
SR 33 IB,75,33.10,5400
Standfast 33,156,32.80,10143
Standfast 36,126,36.00,17200
Standfast 40,96,40.00,20900
Star ODR,132,22.60,1480
Starwind 27 IB SD,189,26.70,5100
Stevens 47C,93,47.00,32000
Stevens Custom 50,72,49.70,31200
Stonehorse 26,276,23.30,4490
Stuart Knockabout 28,189,28.00,4000
Summit 35,51,35.10,10920
Summit MD 35,45,35.00,5300
Swan 36,150,35.80,15400
Swan 36-2,117,36.00,14800
Swan 37 TM,123,37.00,
Swan 371,126,36.80,16400
Swan 38,123,38.30,16120
Swan 39,81,39.30,16000
Swan 391,90,40.00,18900
Swan 40,126,40.00,20475
Swan 40 TM,123,39.30,19000
Swan 40-2,90,40.20,18700
Swan 40-2 CB,93,40.00,24000
Swan 41,105,41.20,20801
Swan 411,84,40.00,23000
Swan 42,78,42.00,22000
Swan 42-2 NYYC Club 42,-6,42.60,16196
Swan 43,111,43.00,23000
Swan 431,84,43.00,26350
Swan 432,96,42.90,23400
Swan 432 SD,108,42.90,23400
Swan 44,87,44.00,26000
Swan 44 SM,90,44.00,26000
Swan 44-3 Mk II Tall Mast,66,43.80,24300
Swan 441C,69,44.50,24941
Swan 442 Mk I,75,44.00,24500
Swan 45,-18,45.40,20390
Swan 46,63,47.00,31300
Swan 46 CB,63,46.90,
Swan 46 TM,60,47.00,31300
Swan 46 TM CB,60,46.90,37527
Swan 46-2,54,47.10,31300
Swan 47 Centerboard,78,47.00,29800
Swan 47 Keel,81,47.00,29800
Swan 48,72,48.00,37661
Swan 48 Short Rig,72,47.90,35879
Swan 48 TM,69,47.90,38968
Swan 48-2,39,48.70,30900
Swan 48-2 CB,48,48.60,34000
Swan 51,36,51.20,39600
Swan 51 Centerboard,42,51.30,40100
Swan 53,33,52.70,44100
Swan 53 CB,42,53.00,49782
Swan 53 Shoal Draft,39,52.70,44100
Swan 53-2,30,54.07,48501
Swan 55,51,57.30,52000
Swan 56,-15,56.40,47400
Swan 57,42,57.30,47600
Swan 57 CB,39,57.00,52000
Swan 57 RS,42,57.40,52000
Swan 60R,-36,61.80,60638
Swan 65,54,65.00,
Swan 68,-30,67.50,94898
"Swan Mod 42 ""Joss""",72,42.00,24549
"Swan Mod 44 ""Magik""",84,44.00,26000
"Swan Mod 44 ""White Knight""",84,44.00,
Swede 55,84,52.60,15655
"Swede Mod 55 ""Mystic""",84,52.60,15655
Sweden Yachts 34,123,33.50,13300
Sweden Yachts 34,126,33.50,13200
Sweden Yachts 340,126,34.00,13200
Sweden Yachts 340 TM W,129,34.00,13000
Sweden Yachts 36 Deep Keel,117,36.10,14300
Sweden Yachts 36 Wing Keel,117,36.10,14600
Sweden Yachts 37,108,36.60,15290
Sweden Yachts 38 (Cruising 38) Wing,108,38.70,16300
Sweden Yachts 38 TM DK,93,38.60,16280
Sweden Yachts 39 (Cruising 38),96,38.70,16300
Sweden Yachts 390,108,39.00,16720
Sweden Yachts 41 TM,81,41.00,18700
Sweden Yachts 41 Wing Tall Mast,93,41.00,18700
Sweden Yachts 45 Wing,54,46.40,27400
"Sweden Yachts Mod 39 ""Pal Joey""",93,38.70,
Sydney 36,51,36.00,10200
Sydney 40 ODR,3,40.90,12109
Sydney 41,15,41.00,15400
Sydney 43,-9,43.00,15600
Sydney 60,-72,60.00,35280
Tangent One,66,42.90,18300
Tanton 32 T2,174,32.10,
"Tanton Mod 32 ""Ca Va""",162,32.10,
Tanzer 22 Keel,240,22.50,2900
Tanzer 26 OB,222,26.30,4200
Tanzer 31,162,30.60,8700
Tanzer 7.5,219,24.60,3800
Taos 34,180,34.00,9800
Tartan 10,126,33.00,6700
Tartan 10 S,126,33.10,6700
Tartan 26,234,26.00,5200
Tartan 27,234,27.00,6800
Tartan 27 Yawl,240,27.00,6800
Tartan 28,180,28.30,7450
Tartan 28-2,192,28.30,6300
Tartan 30 Comp. Folding,174,30.00,8750
Tartan 30 Competition Solid,171,30.00,8750
Tartan 30 Folding Prop,180,30.00,8750
Tartan 30 Solid Prop,177,30.00,8750
Tartan 3000,165,29.90,7950
Tartan 31,159,30.30,9700
Tartan 31 SD,171,30.30,9030
Tartan 33,159,33.00,10000
Tartan 33R,135,33.00,10000
Tartan 34 Folding Prop,183,34.00,11200
Tartan 34 Solid Prop,180,34.00,11200
Tartan 34-2 DK,129,34.40,10000
Tartan 34-2 SD,144,34.40,10000
Tartan 3400 SD,120,34.40,11000
Tartan 3500,123,35.20,11400
Tartan 3500 Wing,129,35.20,13200
Tartan 37 CB,138,37.00,15500
Tartan 37-3,126,37.20,
Tartan 37-3 DK,123,37.20,15200
Tartan 3700 CB,111,37.00,16350
Tartan 38,120,38.00,15200
Tartan 3800,114,38.00,16000
Tartan 40 Centerboard,111,40.30,17800
Tartan 40 Centerboard TM,108,40.30,17800
Tartan 4000 Shoal Draft,93,40.70,20104
Tartan 41 Short Keel Short Rig,114,41.00,17850
Tartan 41 short keel.,111,41.00,17850
Tartan 41 Short Rig,105,41.00,17850
"Tartan 41 Tall rig, Deep keel",99,41.00,17850
Tartan 4100 SD,105,41.30,20400
Tartan 4100 SD TR,102,41.30,20400
Tartan 4100 TR,96,41.30,19000
Tartan 42 SD,123,42.00,22000
Tartan 42 SR SD,126,42.00,22000
Tartan 43,96,43.00,
Tartan 43 CB,111,43.00,20000
Tartan 44,102,43.10,20929
Tartan 4400,93,45.00,24000
Tartan 4600 CB,90,46.20,29600
Tartan 4700 Wing,84,47.00,31000
Tartan Black Watch 37,168,37.00,15650
"Tartan Mod 10 ""Impulse""",126,33.00,6700
"Tartan Mod 10 ""Menace""",120,33.00,
"Tartan Mod 30 ""Aurora""",177,30.00,
"Tartan Mod 42 ""Contessa""",111,42.00,
Tartan Offshore Cruising Ketch,144,40.70,25000
Tartan Pride 270,129,26.80,3800
Tashiba 40,138,39.90,29000
Taswell 49,102,48.83,32500
Tavana 33 Centerboard Yawl,210,33.00,12000
Tayana 37,192,36.70,22879
Tayana 45,141,43.20,26400
Tayana 52,141,51.40,38570
Tayana 55,51,55.00,48400
Taylor 23 Mini-Ton,228,23.00,2170
Taylor 38,84,37.40,13700
Taylor 40,63,39.60,14750
Taylor 42,45,41.90,17750
"Taylor Mod 38 ""Caliente""",81,37.40,13700
Texas Marine International 27,168,27.00,7900
Texas Marine International 30,180,29.90,9600
Thomas Marine 35,72,35.50,10500
Thompson 850 OB,51,28.50,3870
Tiburon 44,162,44.00,
Tiger 23,228,23.00,
TOR 40,177,40.00,21200
Toucan 35 Frac.,75,35.00,4400
Transpac 52,-84,52.00,16510
Triangle 32 CB Ketch,219,32.00,12000
Trintella 42,90,42.30,20000
Trintella 45,105,45.00,36500
Trintella 45 Tall Mast,102,45.00,36500
Trintella 47,96,47.30,36000
Tripp 24 Lentsch,228,24.00,
Tripp 26 One Design Rig,120,26.70,2900
Tripp 29 Lentsch,240,28.90,8200
Tripp 33,90,33.00,5900
Tripp 36,72,36.00,10000
Tripp 36 Tall Rig,69,36.00,10000
Tripp 37,87,37.00,11300
Tripp 37 Cruising,87,36.90,15554
Tripp 38,66,38.00,11800
Tripp 41,3,41.00,12350
Tripp 47 FR,6,47.00,19992
Tripp 47 MH,6,47.00,19944
Tripp ILC 40-2,15,41.00,14922
Tristar 48 Ketch,81,48.00,27500
Turner 56,-18,56.70,35000
Tylercraft 21,210,21.00,
Tylercraft 29,252,29.00,
U. S. Yachts 27-1 CB,198,27.00,6250
U. S. Yachts 30,168,29.90,7000
U. S. Yachts 305,234,30.00,10000
U. S. Yachts 46,165,45.50,30159
UFO 22 ODR,153,22.70,1588
Ultra 30,-27,30.00,2425
Valiant 32,162,32.00,11800
Valiant 40,138,39.90,23520
Valiant 50 Short Mast,105,50.70,35500
VAr 37,111,37.80,15211
Vega 27,240,27.10,5060
Venture 224 MH,222,24.60,3200
Venture 23 Newport,258,22.70,2000
Venture 24 MH,228,24.60,
Viking 28 IB,198,28.00,
Viking 33,132,33.60,8800
Vindo 35,198,35.00,12000
Vinelander 32,210,31.90,
Viper 640 One Design Rig,96,21.10,750
Viper 830 ODR,69,27.50,2094
Walstead 42,78,41.80,22000
Walters 33,135,33.20,8512
Wasa 37,132,37.00,11770
Watkins 27,234,27.00,7500
Watkins 29/30 Sea Wolf Tall Rig,225,30.00,9100
Watkins 32,192,30.50,10800
Wauquiez 33,141,32.80,11000
Wavelength 24,165,24.00,2500
Wavelength 30,123,30.00,7000
West Indies 36,147,36.30,17000
Westerly Yachts 32 Fulmar,171,31.80,9900
Westerly Yachts 34 GK,126,33.90,8400
Westerly Yachts 38,132,38.50,18500
Westerly Yachts 41,129,40.50,20878
Westerly Yachts Corsair 36,144,35.70,17475
Westerly Yachts GK 24,234,24.00,4100
Westerly Yachts GK 29,180,29.00,
Westphall 38,171,38.00,24000
Westsail 32,204,32.00,19500
Westsail 42,156,42.00,31500
Westwind 24,240,23.90,
Whitby 42,174,42.00,23500
Whitby 45,105,45.40,27040
Whitney 30,186,30.00,6607
Wylie 28,174,28.00,
Wylie 34,123,34.00,7800
Wyliecat 30,147,30.40,5500
X Yachts 102,120,32.90,7700
X Yachts 102TM,114,32.90,7700
X Yachts 119,57,39.40,11466
X Yachts 3/4 Ton -1,111,32.90,7275
X Yachts 3/4 Ton -2,111,32.90,7275
X Yachts 302,132,30.60,7929
X Yachts 332,114,33.80,12960
X Yachts 34,99,34.00,13580
X Yachts 35,63,34.80,9780
X Yachts 362,81,36.10,10800
X Yachts 37,69,37.20,16324
X Yachts 372,93,36.30,11243
X Yachts 382,78,37.70,14300
X Yachts 40,48,40.00,16425
X Yachts 402,81,39.70,14000
X Yachts 41,24,40.50,
X Yachts 412-2,60,42.30,16314
X Yachts 442,39,44.30,21300
X Yachts 95,144,30.30,6710
X Yachts 99,111,32.80,6280
XC 35,99,34.00,14220
Xp 33,81,32.78,9480
XP 44,30,43.60,19070
XP 44 Tall Mast Deep Keel,15,43.60,20125
Yamaha 30,165,29.40,7606
Yamaha 33 Tall Mast,144,33.30,10584
Yankee 26,228,26.00,5335
Yankee 30,168,30.00,10000
Yankee 30 1 & 2,180,30.00,8700
Yankee 38,120,38.20,16000
Yankee Dolphin 24,243,24.10,4765
ZAP 26,132,26.00,3200
