boat,phrf,loa
Cheoy Lee Pedrick 38,138,38.30
Cheoy Lee Pedrick 41 CB,150,41.00
Cherubini 44,141,50.50
Chesapeake 32,204,32.00
Chris Craft 26 Pawnee,210,26.00
Chris Craft 32 Cherokee,204,32.80
Chris Craft 37 Apache,153,37.00
Chris Craft 42 Commanche,123,42.00
Chris Craft Capri 26,225,26.00
Chris Craft Capri 30,240,30.00
Chrysler 22 FK,252,22.00
Chrysler 26 CB,228,26.00
Chrysler 26 FK,222,26.00
Chrysler 27 IB,168,27.30
Class 40-1,,39.90
Class 40-3,-3,40.00
Class 40-4,-6,39.99
Clipper Marine 21,270,21.00
CM 1200,18,40.00
Colgate 26,156,25.70
Columbia 10.7 (35),156,35.20
Columbia 22,267,22.00
Columbia 23T,276,22.60
Columbia 24 Challenger,258,24.00
Columbia 24 Contender,270,24.00
Columbia 26 Mk II,240,26.00
Columbia 26-1 IB,246,26.00
Columbia 28,228,27.60
Columbia 28 Mark II,222,28.00
Columbia 29 Defender,222,28.00
Columbia 30,180,30.00
Columbia 32 Sabre,210,32.00
Columbia 32 Sabre 5.5,201,32.00
Columbia 32-2,51,32.00
Columbia 34,210,34.00
Columbia 34-2,168,34.00
Columbia 36,162,36.00
Columbia 38,204,38.00
Columbia 39,186,39.00
Columbia 39-2,174,39.00
Columbia 39-3,120,39.00
Columbia 40 Centerboard,174,40.00
Columbia 43,120,43.30
Columbia 43-2,114,43.30
Columbia 43K,114,43.30
Columbia 45 Motor Sailor,186,45.30
Columbia 50,108,50.00
Columbia 50 Yawl,108,50.00
Columbia 8.3,213,27.20
Columbia 8.7,204,29.00
Columbia 9.6,195,32.00
"Columbia Mod 30 ""Blue Hornet""",177,30.00
Comet 1050,156,33.30
Concordia 39 Fractional,177,39.00
Concordia 39 Fractional Yawl,180,39.00
Concordia 39 Masthead Yawl,189,39.00
Concordia 40 Fractional,177,40.00
Concordia 40 Fractional Yawl,180,39.80
Concordia 40 Masthead Yawl,177,40.00
Concordia 41,174,41.00
Concordia 46,6,47.40
Concordia 47,-12,46.80
Constellation 30,192,30.00
Contention 33,144,33.00
Contessa 26,246,26.00
Contessa 32,180,32.00
Contessa 33,138,32.70
Contessa 33 TM,132,32.70
Contessa 35,111,35.00
Contessa 35 Single Spreader,117,35.00
Contessa 42,75,42.00
Contessa 43,66,42.50
Contessa MOD 33 REBEL,135,32.70
"Contessa Mod 35 ""Crossbow""",114,35.00
"Contessa Mod 35 ""Huff N Puff""",114,35.00
"Contessa Mod 35 ""Spitfire""",,35.00
Contest 29,234,29.00
Contest 30,222,30.00
Contest 31,192,31.00
Contest 33,222,33.00
Contest 35,177,34.90
Contest 36S,144,35.80
Contest 36S Wing,147,35.80
Contest 40,186,40.00
Contest 42 K,186,42.60
Contest 44,120,44.00
Contest 48,186,48.00
Corbin 39,150,38.60
Corby 29,99,29.00
Corby 33,63,32.80
Corel 45 ODR,-24,45.30
Cork 1720,111,26.00
Coronado 23,270,23.00
Coronado 25,228,25.00
Coronado 27 IB,228,27.00
Coronado 28 IB,216,28.00
Coronado 30,186,30.00
Coronado 34,174,34.00
Coronado 35 Motorsailer,192,35.00
Coronado 41 Motorsailer,108,41.00
Corsair 24,285,24.00
CR 38,132,38.00
Crealock 34,207,34.10
Crealock 37,177,36.90
Creekmore 22,204,22.00
Creekmore 23,207,23.00
Creekmore 26,162,26.00
Creekmore 27,159,27.00
CS Yachts 22,226,22.00
CS Yachts 27 IB,198,27.00
CS Yachts 30,156,30.00
CS Yachts 33,150,33.00
CS Yachts 36,129,36.00
CS Yachts 40 Shoal Draft,105,39.25
CS Yachts 40 TM,96,39.30
CSY Yachts 37,180,37.00
CSY Yachts 44,150,44.00
CSY Yachts 50,132,49.60
CT 37,192,37.00
CT 41,237,41.00
CT 65,99,65.00
"Custom ""Abracadabra""",96,37.10
"Custom ""Abracadabra""",51,42.30
"Custom ""Adrenalin""",48,35.10
"Custom ""Aegir II""",204,39.50
"Custom ""African Warrior""",72,41.00
"Custom ""Aggressive II""",72,37.00
"Custom ""Aggressive""",63,39.70
"Custom ""Agincourt""",3,42.90
"Custom ""Amazing Potato""",57,39.50
"Custom ""Americus""",93,28.60
"Custom ""Angel II""",87,26.80
"Custom ""Aphrodite IV""",63,39.60
"Custom ""Appreciation""",84,40.50
"Custom ""Aquila""",198,41.20
"Custom ""Arabella""",114,46.50
"Custom ""Aries""",60,47.00
"Custom ""As Larks Harmoniously""",108,33.90
"Custom ""Aurora""",81,43.00
